dt_partida_real,flights,paid_passengers
2015-01-18,391,57624
2015-01-19,419,60335
2015-01-20,413,57144
2015-01-21,416,56219
2015-01-22,429,57655
2015-01-23,425,56493
2015-01-24,403,56294
2015-01-25,389,55138
2015-01-26,404,54517
2015-01-27,408,50763
2015-01-28,415,51411
2015-01-29,418,52195
2015-01-30,417,56957
2015-01-31,384,54537
2015-02-01,373,53212
2015-02-02,405,53947
2015-02-03,377,46851
2015-02-04,401,50108
2015-02-05,406,51973
2015-02-06,416,52834
2015-02-07,367,50462
2015-02-08,368,50627
2015-02-09,402,51970
2015-02-10,391,51295
2015-02-11,394,54440
2015-02-12,428,62206
2015-02-13,418,63499
2015-02-14,396,63453
2015-02-15,333,49563
2015-02-16,312,44442
2015-02-17,338,43466
2015-02-18,387,49342
2015-02-19,401,48766
2015-02-20,404,48324
2015-02-21,362,47851
2015-02-22,378,51361
2015-02-23,397,51176
2015-02-24,387,46832
2015-02-25,390,47455
2015-02-26,397,50356
2015-02-27,392,51759
2015-02-28,370,54390
2015-03-01,360,52143
2015-03-02,375,50515
2015-03-03,360,44801
2015-03-04,368,45213
2015-03-05,381,49008
2015-03-06,407,55412
2015-03-07,355,49416
2015-03-08,360,50322
2015-03-09,382,50755
2015-03-10,366,44864
2015-03-11,366,43050
2015-03-12,390,50179
2015-03-13,404,53837
2015-03-14,346,49388
2015-03-15,361,51774
2015-03-16,376,50503
2015-03-17,371,45826
2015-03-18,379,47139
2015-03-19,394,49367
2015-03-20,398,52939
2015-03-21,347,47265
2015-03-22,363,50264
2015-03-23,387,50098
2015-03-24,359,43111
2015-03-25,378,43872
2015-03-26,398,48863
2015-03-27,408,53005
2015-03-28,345,47060
2015-03-29,370,49994
2015-03-30,377,50097
2015-03-31,357,44282
2015-04-01,389,50547
2015-04-02,399,54581
2015-04-03,370,47178
2015-04-04,284,37629
2015-04-05,364,51681
2015-04-06,396,57248
2015-04-07,362,48217
2015-04-08,376,49737
2015-04-09,376,50524
2015-04-10,400,56082
2015-04-11,340,48388
2015-04-12,361,54126
2015-04-13,371,52438
2015-04-14,364,47683
2015-04-15,378,50393
2015-04-16,379,55460
2015-04-17,405,62236
2015-04-18,351,55859
2015-04-19,295,47741
2015-04-20,317,46207
2015-04-21,380,49083
2015-04-22,381,48177
2015-04-23,380,46557
2015-04-24,392,50325
2015-04-25,347,46271
2015-04-26,360,50598
2015-04-27,377,50742
2015-04-28,371,45301
2015-04-29,370,49056
2015-04-30,400,56271
2015-05-01,360,49850
2015-05-02,279,40854
2015-05-03,365,51607
2015-05-04,389,57033
2015-05-05,365,48351
2015-05-06,370,47006
2015-05-07,380,52022
2015-05-08,391,54174
2015-05-09,339,47582
2015-05-10,338,46858
2015-05-11,385,53643
2015-05-12,368,46757
2015-05-13,366,46501
2015-05-14,383,51095
2015-05-15,393,53920
2015-05-16,337,46326
2015-05-17,359,50817
2015-05-18,369,50634
2015-05-19,367,43590
2015-05-20,369,46538
2015-05-21,382,50639
2015-05-22,390,54337
2015-05-23,342,47393
2015-05-24,356,50857
2015-05-25,370,50550
2015-05-26,365,43958
2015-05-27,373,45983
2015-05-28,379,48696
2015-05-29,390,53125
2015-05-30,347,49253
2015-05-31,348,49584
2015-06-01,364,48478
2015-06-02,370,49202
2015-06-03,385,54931
2015-06-04,387,56039
2015-06-05,300,40795
2015-06-06,302,40278
2015-06-07,368,51322
2015-06-08,381,52400
2015-06-09,355,45501
2015-06-10,371,48933
2015-06-11,381,50866
2015-06-12,395,54324
2015-06-13,347,47821
2015-06-14,362,51653
2015-06-15,369,52268
2015-06-16,361,46164
2015-06-17,368,48191
2015-06-18,377,51020
2015-06-19,405,55599
2015-06-20,354,51089
2015-06-21,355,53056
2015-06-22,365,51786
2015-06-23,361,47048
2015-06-24,372,49397
2015-06-25,384,50773
2015-06-26,395,53772
2015-06-27,356,50782
2015-06-28,366,55106
2015-06-29,373,53447
2015-06-30,374,51142
2015-07-01,360,47561
2015-07-02,438,62462
2015-07-03,409,57809
2015-07-04,381,55512
2015-07-05,390,60204
2015-07-06,393,57177
2015-07-07,392,56373
2015-07-08,408,61473
2015-07-09,403,62849
2015-07-10,393,56545
2015-07-11,376,53904
2015-07-12,378,54878
2015-07-13,407,57196
2015-07-14,392,53527
2015-07-15,410,56638
2015-07-16,420,60224
2015-07-17,419,60642
2015-07-18,385,57502
2015-07-19,385,58414
2015-07-20,398,60213
2015-07-21,402,57060
2015-07-22,408,56999
2015-07-23,418,59315
2015-07-24,408,57267
2015-07-25,382,56188
2015-07-26,386,56432
2015-07-27,399,57126
2015-07-28,396,51719
2015-07-29,397,50084
2015-07-30,407,52965
2015-07-31,412,55995
2015-08-01,361,51631
2015-08-02,381,57551
2015-08-03,395,56820
2015-08-04,385,50091
2015-08-05,396,50396
2015-08-06,394,51370
2015-08-07,407,55280
2015-08-08,356,49587
2015-08-09,368,52310
2015-08-10,388,55637
2015-08-11,375,47994
2015-08-12,377,48478
2015-08-13,394,51878
2015-08-14,413,56569
2015-08-15,339,48454
2015-08-16,367,54171
2015-08-17,386,55579
2015-08-18,373,48937
2015-08-19,384,49493
2015-08-20,391,51659
2015-08-21,411,55635
2015-08-22,339,46614
2015-08-23,370,52495
2015-08-24,387,52198
2015-08-25,368,45516
2015-08-26,375,45992
2015-08-27,388,49645
2015-08-28,414,56245
2015-08-29,335,46698
2015-08-30,366,53577
2015-08-31,380,52175
2015-09-01,370,48278
2015-09-02,374,49479
2015-09-03,394,57508
2015-09-04,421,61378
2015-09-05,343,53122
2015-09-06,333,50377
2015-09-07,384,54068
2015-09-08,338,47248
2015-09-09,419,59000
2015-09-10,390,51608
2015-09-11,408,53892
2015-09-12,349,50114
2015-09-13,364,54545
2015-09-14,379,53873
2015-09-15,365,47352
2015-09-16,375,49191
2015-09-17,398,53056
2015-09-18,410,56712
2015-09-19,345,49689
2015-09-20,365,54318
2015-09-21,383,52797
2015-09-22,372,46444
2015-09-23,374,45953
2015-09-24,394,50332
2015-09-25,397,52852
2015-09-26,358,51719
2015-09-27,367,54375
2015-09-28,388,52582
2015-09-29,382,45179
2015-09-30,376,46162
2015-10-01,397,50105
2015-10-02,407,52627
2015-10-03,355,49624
2015-10-04,373,53817
2015-10-05,380,50329
2015-10-06,387,47424
2015-10-07,391,51074
2015-10-08,400,56451
2015-10-09,414,62104
2015-10-10,345,54076
2015-10-11,318,49155
2015-10-12,382,54870
2015-10-13,385,55365
2015-10-14,395,51878
2015-10-15,395,52701
2015-10-16,409,55802
2015-10-17,349,48659
2015-10-18,364,51729
2015-10-19,384,53313
2015-10-20,381,48179
2015-10-21,384,45730
2015-10-22,388,48904
2015-10-23,412,53605
2015-10-24,343,46058
2015-10-25,360,50258
2015-10-26,369,46576
2015-10-27,392,45340
2015-10-28,380,47595
2015-10-29,394,53864
2015-10-30,421,59657
2015-10-31,317,46774
2015-11-01,301,43713
2015-11-02,373,49198
2015-11-03,388,50373
2015-11-04,387,44928
2015-11-05,406,48630
2015-11-06,409,50760
2015-11-07,354,46978
2015-11-08,356,50928
2015-11-09,389,49654
2015-11-10,378,44775
2015-11-11,376,44024
2015-11-12,408,50923
2015-11-13,390,50545
2015-11-14,377,51886
2015-11-15,364,55114
2015-11-16,384,56404
2015-11-17,371,46007
2015-11-18,398,50702
2015-11-19,394,54995
2015-11-20,399,56659
2015-11-21,335,46372
2015-11-22,352,49087
2015-11-23,378,48979
2015-11-24,389,46698
2015-11-25,378,45069
2015-11-26,393,48253
2015-11-27,407,53031
2015-11-28,347,47626
2015-11-29,353,51195
2015-11-30,390,54405
2015-12-01,377,46857
2015-12-02,385,44957
2015-12-03,399,49287
2015-12-04,412,55301
2015-12-05,365,51544
2015-12-06,354,51741
2015-12-07,409,58549
2015-12-08,396,52653
2015-12-09,403,53823
2015-12-10,406,55087
2015-12-11,417,58596
2015-12-12,369,53989
2015-12-13,368,58559
2015-12-14,405,60125
2015-12-15,404,56509
2015-12-16,417,60585
2015-12-17,415,61177
2015-12-18,416,59522
2015-12-19,406,63127
2015-12-20,385,59461
2015-12-21,409,62508
2015-12-22,411,61717
2015-12-23,403,61395
2015-12-24,361,53680
2015-12-25,356,54064
2015-12-26,373,59283
2015-12-27,386,59584
2015-12-28,397,59039
2015-12-29,414,59874
2015-12-30,402,57884
2015-12-31,344,47998
2016-01-01,342,45377
2016-01-02,371,55111
2016-01-03,392,59328
2016-01-04,414,61647
2016-01-05,403,59599
2016-01-06,411,58760
2016-01-07,414,57128
2016-01-08,423,59279
2016-01-09,398,58040
2016-01-10,385,57790
2016-01-11,408,58986
2016-01-12,413,58303
2016-01-13,401,57107
2016-01-14,412,57969
2016-01-15,418,59284
2016-01-16,384,55677
2016-01-17,385,57797
2016-01-18,403,61601
2016-01-19,406,57128
2016-01-20,400,56842
2016-01-21,416,57807
2016-01-22,419,60180
2016-01-23,382,54706
2016-01-24,380,55194
2016-01-25,396,52550
2016-01-26,395,49668
2016-01-27,395,49547
2016-01-28,407,53312
2016-01-29,425,57427
2016-01-30,383,54608
2016-01-31,375,56114
2016-02-01,373,52563
2016-02-02,396,53108
2016-02-03,382,50543
2016-02-04,402,56425
2016-02-05,431,64650
2016-02-06,386,59075
2016-02-07,296,45861
2016-02-08,275,38066
2016-02-09,332,40532
2016-02-10,384,47990
2016-02-11,378,46562
2016-02-12,372,46509
2016-02-13,360,45845
2016-02-14,361,50161
2016-02-15,375,50133
2016-02-16,391,48768
2016-02-17,373,46155
2016-02-18,382,47634
2016-02-19,386,51173
2016-02-20,346,46972
2016-02-21,349,50190
2016-02-22,358,48054
2016-02-23,357,42317
2016-02-24,353,40284
2016-02-25,375,46589
2016-02-26,386,50660
2016-02-27,335,45114
2016-02-28,341,50007
2016-02-29,347,47829
2016-03-01,344,44237
2016-03-02,344,43373
2016-03-03,361,47725
2016-03-04,379,52824
2016-03-05,324,45408
2016-03-06,336,48908
2016-03-07,349,46784
2016-03-08,344,42513
2016-03-09,347,42138
2016-03-10,359,45685
2016-03-11,355,47663
2016-03-12,334,48377
2016-03-13,337,50026
2016-03-14,350,53021
2016-03-15,354,46565
2016-03-16,345,44562
2016-03-17,365,49829
2016-03-18,378,52768
2016-03-19,329,47945
2016-03-20,340,50308
2016-03-21,343,45159
2016-03-22,355,44753
2016-03-23,349,46932
2016-03-24,372,53429
2016-03-25,315,41234
2016-03-26,273,37336
2016-03-27,342,49499
2016-03-28,348,50301
2016-03-29,354,45383
2016-03-30,356,43431
2016-03-31,368,45825
2016-04-01,364,47655
2016-04-02,309,43232
2016-04-03,334,49078
2016-04-04,334,48146
2016-04-05,343,43136
2016-04-06,345,43390
2016-04-07,362,48897
2016-04-08,367,52780
2016-04-09,310,44809
2016-04-10,336,52073
2016-04-11,333,49145
2016-04-12,334,43600
2016-04-13,338,43868
2016-04-14,361,48997
2016-04-15,361,52185
2016-04-16,311,45889
2016-04-17,327,49333
2016-04-18,334,47577
2016-04-19,344,49112
2016-04-20,347,51770
2016-04-21,342,50822
2016-04-22,257,37032
2016-04-23,274,38577
2016-04-24,332,51346
2016-04-25,337,49422
2016-04-26,344,44599
2016-04-27,345,43330
2016-04-28,356,46374
2016-04-29,366,49457
2016-04-30,315,42980
2016-05-01,322,47036
2016-05-02,334,46149
2016-05-03,332,40087
2016-05-04,331,40481
2016-05-05,361,48671
2016-05-06,360,49438
2016-05-07,314,42771
2016-05-08,320,43936
2016-05-09,337,47441
2016-05-10,329,42797
2016-05-11,337,41333
2016-05-12,357,48125
2016-05-13,367,50289
2016-05-14,305,42952
2016-05-15,323,48764
2016-05-16,333,47875
2016-05-17,329,42283
2016-05-18,324,42573
2016-05-19,364,49448
2016-05-20,359,52577
2016-05-21,310,44975
2016-05-22,310,46725
2016-05-23,347,50040
2016-05-24,329,46573
2016-05-25,352,53077
2016-05-26,318,48152
2016-05-27,253,37995
2016-05-28,258,35265
2016-05-29,324,47177
2016-05-30,340,48575
2016-05-31,319,42324
2016-06-01,326,41372
2016-06-02,364,46292
2016-06-03,361,47882
2016-06-04,315,43605
2016-06-05,313,44331
2016-06-06,336,45948
2016-06-07,339,42274
2016-06-08,346,44514
2016-06-09,359,48612
2016-06-10,361,51073
2016-06-11,310,45696
2016-06-12,325,48006
2016-06-13,329,47111
2016-06-14,325,42294
2016-06-15,337,45983
2016-06-16,361,50185
2016-06-17,358,51644
2016-06-18,321,46709
2016-06-19,331,50159
2016-06-20,334,50160
2016-06-21,330,45041
2016-06-22,333,45774
2016-06-23,338,47979
2016-06-24,367,53600
2016-06-25,319,46328
2016-06-26,327,52103
2016-06-27,329,51287
2016-06-28,329,47863
2016-06-29,339,50472
2016-06-30,364,55032
2016-07-01,365,56549
2016-07-02,340,53786
2016-07-03,336,54881
2016-07-04,344,54000
2016-07-05,348,51942
2016-07-06,358,50941
2016-07-07,380,57163
2016-07-08,374,56440
2016-07-09,341,52554
2016-07-10,344,54307
2016-07-11,352,55031
2016-07-12,347,51104
2016-07-13,354,51902
2016-07-14,378,56468
2016-07-15,379,57806
2016-07-16,343,52251
2016-07-17,339,52211
2016-07-18,352,55085
2016-07-19,353,53938
2016-07-20,351,52219
2016-07-21,383,56580
2016-07-22,372,54914
2016-07-23,343,50994
2016-07-24,340,52061
2016-07-25,351,52239
2016-07-26,350,48343
2016-07-27,357,47494
2016-07-28,380,50609
2016-07-29,377,51433
2016-07-30,337,47361
2016-07-31,338,51284
2016-08-01,344,49308
2016-08-02,339,45407
2016-08-03,346,45148
2016-08-04,376,49766
2016-08-05,371,49442
2016-08-06,323,44145
2016-08-07,329,47595
2016-08-08,344,49352
2016-08-09,336,44994
2016-08-10,342,45954
2016-08-11,367,49859
2016-08-12,372,53730
2016-08-13,323,47017
2016-08-14,336,48537
2016-08-15,336,49365
2016-08-16,336,48835
2016-08-17,341,45372
2016-08-18,360,50350
2016-08-19,363,51141
2016-08-20,326,47079
2016-08-21,333,48634
2016-08-22,368,51403
2016-08-23,334,44355
2016-08-24,323,43823
2016-08-25,353,48181
2016-08-26,357,49872
2016-08-27,314,44340
2016-08-28,316,47641
2016-08-29,335,47954
2016-08-30,310,40013
2016-08-31,335,44538
2016-09-01,352,50890
2016-09-02,359,53123
2016-09-03,309,48213
2016-09-04,315,48490
2016-09-05,327,48592
2016-09-06,315,46108
2016-09-07,296,45013
2016-09-08,337,50006
2016-09-09,356,49579
2016-09-10,309,44958
2016-09-11,328,51717
2016-09-12,335,52942
2016-09-13,325,47943
2016-09-14,336,47843
2016-09-15,359,52394
2016-09-16,362,53720
2016-09-17,308,44506
2016-09-18,315,47660
2016-09-19,344,50458
2016-09-20,320,43941
2016-09-21,329,45464
2016-09-22,355,50629
2016-09-23,359,51820
2016-09-24,311,46931
2016-09-25,321,49883
2016-09-26,329,48958
2016-09-27,318,42082
2016-09-28,324,41771
2016-09-29,352,47130
2016-09-30,367,51336
2016-10-01,310,45775
2016-10-02,321,46555
2016-10-03,333,46576
2016-10-04,328,42366
2016-10-05,338,43721
2016-10-06,358,48952
2016-10-07,367,53143
2016-10-08,329,51304
2016-10-09,335,51443
2016-10-10,333,49061
2016-10-11,317,44866
2016-10-12,300,45078
2016-10-13,328,47458
2016-10-14,373,54385
2016-10-15,320,46963
2016-10-16,333,51077
2016-10-17,341,51603
2016-10-18,331,47453
2016-10-19,334,45669
2016-10-20,360,50325
2016-10-21,367,52335
2016-10-22,318,46902
2016-10-23,321,48667
2016-10-24,330,48587
2016-10-25,319,42738
2016-10-26,327,43268
2016-10-27,365,51143
2016-10-28,362,53276
2016-10-29,310,45814
2016-10-30,317,44632
2016-10-31,322,42932
2016-11-01,323,42193
2016-11-02,325,45291
2016-11-03,338,44653
2016-11-04,358,46168
2016-11-05,310,43091
2016-11-06,312,45523
2016-11-07,334,49012
2016-11-08,331,43934
2016-11-09,306,41786
2016-11-10,386,58431
2016-11-11,341,51199
2016-11-12,354,58184
2016-11-13,277,46367
2016-11-14,299,46571
2016-11-15,339,46763
2016-11-16,332,46697
2016-11-17,360,50493
2016-11-18,362,50575
2016-11-19,316,45853
2016-11-20,321,48916
2016-11-21,333,48382
2016-11-22,325,43347
2016-11-23,333,45245
2016-11-24,346,47525
2016-11-25,356,49902
2016-11-26,308,44968
2016-11-27,321,46786
2016-11-28,338,49226
2016-11-29,328,43978
2016-11-30,338,46468
2016-12-01,356,48764
2016-12-02,364,51331
2016-12-03,311,44198
2016-12-04,329,51000
2016-12-05,348,51702
2016-12-06,329,45217
2016-12-07,347,49293
2016-12-08,364,52648
2016-12-09,364,53105
2016-12-10,315,48585
2016-12-11,340,54343
2016-12-12,339,53123
2016-12-13,341,52886
2016-12-14,348,53044
2016-12-15,361,55394
2016-12-16,377,58249
2016-12-17,346,53989
2016-12-18,341,52468
2016-12-19,354,56289
2016-12-20,363,55116
2016-12-21,366,56168
2016-12-22,389,59752
2016-12-23,375,58022
2016-12-24,324,50126
2016-12-25,317,49873
2016-12-26,357,58008
2016-12-27,347,55417
2016-12-28,347,53411
2016-12-29,373,56931
2016-12-30,380,56089
2016-12-31,298,44007
2017-01-01,319,44950
2017-01-02,370,56303
2017-01-03,347,50916
2017-01-04,363,55469
2017-01-05,379,56796
2017-01-06,373,54348
2017-01-07,345,52867
2017-01-08,346,53263
2017-01-09,361,55472
2017-01-10,357,54565
2017-01-11,369,54609
2017-01-12,381,57550
2017-01-13,372,55445
2017-01-14,331,52668
2017-01-15,334,52685
2017-01-16,370,59798
2017-01-17,361,55006
2017-01-18,361,54779
2017-01-19,380,58977
2017-01-20,378,56665
2017-01-21,335,50034
2017-01-22,345,54867
2017-01-23,361,56280
2017-01-24,350,52221
2017-01-25,348,48804
2017-01-26,370,51980
2017-01-27,375,51702
2017-01-28,339,48298
2017-01-29,329,47559
2017-01-30,364,52518
2017-01-31,348,49667
2017-02-01,348,47253
2017-02-02,372,52022
2017-02-03,374,52127
2017-02-04,329,47981
2017-02-05,331,48225
2017-02-06,330,47326
2017-02-07,355,50483
2017-02-08,347,46560
2017-02-09,363,48149
2017-02-10,373,52847
2017-02-11,326,47062
2017-02-12,327,49281
2017-02-13,344,50159
2017-02-14,329,46911
2017-02-15,343,48397
2017-02-16,364,50987
2017-02-17,361,51414
2017-02-18,323,46191
2017-02-19,323,47190
2017-02-20,347,49569
2017-02-21,334,47698
2017-02-22,352,52442
2017-02-23,378,56490
2017-02-24,369,58529
2017-02-25,336,57587
2017-02-26,251,42416
2017-02-27,256,40360
2017-02-28,317,45618
2017-03-01,356,49573
2017-03-02,363,48079
2017-03-03,362,49150
2017-03-04,328,46800
2017-03-05,327,49464
2017-03-06,351,50631
2017-03-07,323,44187
2017-03-08,351,49455
2017-03-09,361,51286
2017-03-10,353,51383
2017-03-11,320,48233
2017-03-12,320,48441
2017-03-13,327,48436
2017-03-14,330,46408
2017-03-15,341,47040
2017-03-16,357,50018
2017-03-17,360,51472
2017-03-18,314,45869
2017-03-19,325,47601
2017-03-20,330,48532
2017-03-21,329,44752
2017-03-22,333,44401
2017-03-23,360,48883
2017-03-24,355,50454
2017-03-25,314,45153
2017-03-26,316,46447
2017-03-27,334,50456
2017-03-28,325,43327
2017-03-29,343,43072
2017-03-30,362,48332
2017-03-31,346,47983
2017-04-01,292,43445
2017-04-02,319,47988
2017-04-03,329,49972
2017-04-04,313,43072
2017-04-05,333,45546
2017-04-06,342,47984
2017-04-07,366,54207
2017-04-08,297,46240
2017-04-09,322,49139
2017-04-10,326,48039
2017-04-11,313,45067
2017-04-12,330,48952
2017-04-13,367,55037
2017-04-14,312,45556
2017-04-15,248,36393
2017-04-16,315,48599
2017-04-17,334,53531
2017-04-18,316,45449
2017-04-19,332,49792
2017-04-20,364,54155
2017-04-21,309,44737
2017-04-22,233,35601
2017-04-23,318,48671
2017-04-24,331,50071
2017-04-25,322,45290
2017-04-26,326,45588
2017-04-27,360,55895
2017-04-28,344,46859
2017-04-29,278,47054
2017-04-30,271,42925
2017-05-01,329,49880
2017-05-02,303,46130
2017-05-03,326,45866
2017-05-04,348,49067
2017-05-05,338,48586
2017-05-06,310,45634
2017-05-07,320,48113
2017-05-08,328,48923
2017-05-09,312,41538
2017-05-10,318,44305
2017-05-11,352,48499
2017-05-12,356,52226
2017-05-13,290,43146
2017-05-14,323,47689
2017-05-15,332,50805
2017-05-16,313,43815
2017-05-17,329,44667
2017-05-18,355,50447
2017-05-19,358,52554
2017-05-20,301,44524
2017-05-21,320,46521
2017-05-22,333,49311
2017-05-23,313,43083
2017-05-24,326,43379
2017-05-25,356,49222
2017-05-26,353,50826
2017-05-27,295,41227
2017-05-28,321,46170
2017-05-29,337,49083
2017-05-30,312,40823
2017-05-31,324,42525
2017-06-01,347,46273
2017-06-02,360,50168
2017-06-03,301,41749
2017-06-04,328,46751
2017-06-05,328,46491
2017-06-06,314,41391
2017-06-07,313,43360
2017-06-08,364,51961
2017-06-09,354,54445
2017-06-10,296,45723
2017-06-11,332,50553
2017-06-12,330,49965
2017-06-13,318,48356
2017-06-14,349,55289
2017-06-15,336,54189
2017-06-16,273,43920
2017-06-17,273,41090
2017-06-18,337,51553
2017-06-19,338,52890
2017-06-20,319,46752
2017-06-21,332,49275
2017-06-22,357,53776
2017-06-23,367,54757
2017-06-24,298,45701
2017-06-25,325,51528
2017-06-26,335,52922
2017-06-27,317,48073
2017-06-28,317,49669
2017-06-29,355,55108
2017-06-30,359,56343
2017-07-01,334,53049
2017-07-02,362,58607
2017-07-03,359,57549
2017-07-04,357,54124
2017-07-05,363,54363
2017-07-06,383,57618
2017-07-07,381,57685
2017-07-08,340,53382
2017-07-09,342,53516
2017-07-10,379,60653
2017-07-11,351,53512
2017-07-12,376,56766
2017-07-13,380,58743
2017-07-14,382,59885
2017-07-15,338,53149
2017-07-16,356,57390
2017-07-17,362,59443
2017-07-18,365,56733
2017-07-19,369,57117
2017-07-20,383,59754
2017-07-21,377,58538
2017-07-22,335,52099
2017-07-23,356,56325
2017-07-24,362,57595
2017-07-25,360,53333
2017-07-26,364,52217
2017-07-27,383,54039
2017-07-28,372,51804
2017-07-29,334,47087
2017-07-30,355,51844
2017-07-31,358,52569
2017-08-01,352,50323
2017-08-02,358,48131
2017-08-03,375,52000
2017-08-04,377,54031
2017-08-05,322,47096
2017-08-06,340,50498
2017-08-07,352,52609
2017-08-08,344,48958
2017-08-09,354,50247
2017-08-10,365,53503
2017-08-11,374,56676
2017-08-12,313,47703
2017-08-13,337,49440
2017-08-14,344,52705
2017-08-15,346,49757
2017-08-16,347,50223
2017-08-17,370,53644
2017-08-18,369,55616
2017-08-19,314,46321
2017-08-20,329,50274
2017-08-21,359,54860
2017-08-22,346,47412
2017-08-23,356,49395
2017-08-24,373,52916
2017-08-25,374,55340
2017-08-26,309,45876
2017-08-27,337,51792
2017-08-28,356,53767
2017-08-29,341,45374
2017-08-30,350,47105
2017-08-31,379,55731
2017-09-01,373,56122
2017-09-02,308,47822
2017-09-03,331,51006
2017-09-04,354,53585
2017-09-05,352,52171
2017-09-06,364,56246
2017-09-07,359,54627
2017-09-08,294,44691
2017-09-09,276,39771
2017-09-10,334,50851
2017-09-11,355,56858
2017-09-12,357,54712
2017-09-13,355,54084
2017-09-14,370,57327
2017-09-15,381,59348
2017-09-16,309,48640
2017-09-17,329,52091
2017-09-18,360,56253
2017-09-19,346,51094
2017-09-20,350,51980
2017-09-21,375,54394
2017-09-22,378,57223
2017-09-23,318,49423
2017-09-24,335,52068
2017-09-25,355,54593
2017-09-26,344,48550
2017-09-27,340,47535
2017-09-28,378,53346
2017-09-29,373,53838
2017-09-30,320,49605
2017-10-01,334,50684
2017-10-02,352,53715
2017-10-03,341,50126
2017-10-04,341,48719
2017-10-05,379,56236
2017-10-06,365,55151
2017-10-07,330,52810
2017-10-08,335,52233
2017-10-09,348,52834
2017-10-10,345,52081
2017-10-11,360,54309
2017-10-12,376,56587
2017-10-13,284,44263
2017-10-14,291,42273
2017-10-15,343,51982
2017-10-16,367,58496
2017-10-17,347,53664
2017-10-18,350,50876
2017-10-19,370,53300
2017-10-20,371,56336
2017-10-21,318,48389
2017-10-22,330,53307
2017-10-23,357,57725
2017-10-24,332,49924
2017-10-25,341,48651
2017-10-26,355,53327
2017-10-27,356,52449
2017-10-28,310,47040
2017-10-29,331,50687
2017-10-30,362,53380
2017-10-31,353,49904
2017-11-01,354,53584
2017-11-02,356,51812
2017-11-03,304,44636
2017-11-04,284,41175
2017-11-05,327,48287
2017-11-06,394,59335
2017-11-07,356,49195
2017-11-08,354,50092
2017-11-09,383,55884
2017-11-10,350,51025
2017-11-11,351,54376
2017-11-12,338,53487
2017-11-13,365,57709
2017-11-14,358,54293
2017-11-15,337,51724
2017-11-16,345,51978
2017-11-17,357,52531
2017-11-18,318,47743
2017-11-19,336,51262
2017-11-20,353,52031
2017-11-21,369,49865
2017-11-22,358,48572
2017-11-23,381,51934
2017-11-24,381,54514
2017-11-25,325,47076
2017-11-26,350,52641
2017-11-27,367,55723
2017-11-28,361,50017
2017-11-29,349,48025
2017-11-30,386,55555
2017-12-01,382,56024
2017-12-02,335,48749
2017-12-03,348,54050
2017-12-04,376,56154
2017-12-05,377,52042
2017-12-06,370,51319
2017-12-07,387,55673
2017-12-08,393,57987
2017-12-09,339,52008
2017-12-10,349,56449
2017-12-11,379,61948
2017-12-12,376,58160
2017-12-13,373,57038
2017-12-14,389,61620
2017-12-15,399,63353
2017-12-16,347,55282
2017-12-17,357,56556
2017-12-18,381,62079
2017-12-19,382,59877
2017-12-20,387,61116
2017-12-21,390,62802
2017-12-22,429,71263
2017-12-23,352,58651
2017-12-24,328,53824
2017-12-25,341,55494
2017-12-26,387,64331
2017-12-27,398,63266
2017-12-28,407,65119
2017-12-29,402,63185
2017-12-30,350,55444
2017-12-31,315,47849
2018-01-01,348,51242
2018-01-02,385,59459
2018-01-03,394,62585
2018-01-04,401,59612
2018-01-05,425,63414
2018-01-06,360,55494
2018-01-07,377,59165
2018-01-08,385,61662
2018-01-09,401,60916
2018-01-10,371,54692
2018-01-11,415,62516
2018-01-12,424,65374
2018-01-13,361,56680
2018-01-14,367,58266
2018-01-15,385,61247
2018-01-16,401,60870
2018-01-17,401,60834
2018-01-18,403,62051
2018-01-19,379,57026
2018-01-20,380,59454
2018-01-21,371,58711
2018-01-22,388,61461
2018-01-23,401,59999
2018-01-24,400,60762
2018-01-25,400,62621
2018-01-26,392,56467
2018-01-27,349,50821
2018-01-28,361,51928
2018-01-29,378,55443
2018-01-30,392,55299
2018-01-31,386,55715
2018-02-01,388,56265
2018-02-02,399,58747
2018-02-03,335,50649
2018-02-04,356,56013
2018-02-05,373,57989
2018-02-06,379,55443
2018-02-07,380,56824
2018-02-08,398,62295
2018-02-09,405,67302
2018-02-10,324,56386
2018-02-11,283,47326
2018-02-12,293,46595
2018-02-13,334,47378
2018-02-14,373,50762
2018-02-15,378,50950
2018-02-16,371,50839
2018-02-17,337,46915
2018-02-18,356,52194
2018-02-19,375,55092
2018-02-20,380,51464
2018-02-21,380,50756
2018-02-22,393,53890
2018-02-23,390,55134
2018-02-24,339,48909
2018-02-25,346,52217
2018-02-26,353,50947
2018-02-27,394,52666
2018-02-28,378,52767
2018-03-01,383,54693
2018-03-02,383,56284
2018-03-03,339,52449
2018-03-04,348,54506
2018-03-05,373,56450
2018-03-06,364,49877
2018-03-07,371,50795
2018-03-08,385,54966
2018-03-09,385,56878
2018-03-10,328,49057
2018-03-11,350,54466
2018-03-12,369,54845
2018-03-13,367,50836
2018-03-14,361,49180
2018-03-15,387,57724
2018-03-16,388,61310
2018-03-17,333,51075
2018-03-18,347,54977
2018-03-19,378,57748
2018-03-20,370,50439
2018-03-21,368,51385
2018-03-22,391,53372
2018-03-23,388,57063
2018-03-24,348,51581
2018-03-25,359,55127
2018-03-26,391,59416
2018-03-27,379,52950
